briefitem,bibid,systemfolder,objectid,vid,publisher,format,pdf_name,pdf,title,image_name,thumb,image,imageid,measurements,title_alternative,title_original,subject,source_institution,rights,rightsstatement,type,description_physical,note,permanentlink,language,date_modified,date_created,format_original,holding_location,genre,publication_date,Collection,description,short_description,reference_url
"","","","special58","","","image/jpeg","","","Bridge, March 1989","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/55/00001/WC172.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special58.html"
"","","","special59","","","image/jpeg","","","Bridget Schettler, 1996","","http://ncf.sobek.ufl.edu/content/NC/F0/00/15/57/00001/VBP170.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special59.html"
"","","","special60","","","image/jpeg","","","&quot;A&quot; Building,  May 1973","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/98/00001/WC267.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special60.html"
"","","","special61","","","image/jpeg","","","Building C, Palmer Buildings, October 1981","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/89/00001/WC258.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special61.html"
"","","","special62","","","image/jpeg","","","Building D, Palmer Buildings, October 1981","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/66/00001/WC205.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special62.html"
"","","","special63","","","image/jpeg","","","Bus-to-US Group, September 1973","","http://ncf.sobek.ufl.edu/content/NC/F0/00/14/92/00001/SF247.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special63.html"
"","","","special64","","","image/jpeg","","","Bus-to-US, September 1973","","http://ncf.sobek.ufl.edu/content/NC/F0/00/14/94/00001/SF249.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special64.html"
"","","","special65","","","image/jpeg","","","By H Rooms, Undated","","http://ncf.sobek.ufl.edu/content/NC/F0/00/14/86/00001/SF238.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special65.html"
"","","","special66","","","image/jpeg","","","C Building, Palmer Buildings, April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/63/00001/WC199.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special66.html"
"","","","special67","","","image/jpeg","","","Camilla Mortensen, 1992","","http://ncf.sobek.ufl.edu/content/NC/F0/00/15/54/00001/VBP153.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special67.html"
"","","","special68","","","image/jpeg","","","Campus Christmas Party, December 1982","","http://ncf.sobek.ufl.edu/content/NC/F0/00/13/53/00001/E134.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special68.html"
"","","","special69","","","image/jpeg","","","Campus Scene, 1976-1977","","http://ncf.sobek.ufl.edu/content/NC/F0/00/13/93/00001/SF016.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special69.html"
"","","","special70","","","image/jpeg","","","Campus Scene, Facing Hamilton Center, September 1972","","http://ncf.sobek.ufl.edu/content/NC/F0/00/13/39/00001/EC311.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special70.html"
"","","","special71","","","image/jpeg","","","Campus Scene, February 1984","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/98/00001/EC229.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special71.html"
"","","","special72","","","image/jpeg","","","Campus Scene, From College Hall Terrace, March 1964","","http://ncf.sobek.ufl.edu/content/NC/F0/00/15/86/00001/WC023.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special72.html"
"","","","special73","","","image/jpeg","","","Campus Scene, March 1977","","http://ncf.sobek.ufl.edu/content/NC/F0/00/14/34/00001/SF104.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special73.html"
"","","","special74","","","image/jpeg","","","Campus Scene, May 1977","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/94/00001/EC223.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special74.html"
"","","","special75","","","image/jpeg","","","Campus Scene, NC Football, October 1977","","http://ncf.sobek.ufl.edu/content/NC/F0/00/15/05/00001/SF284.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special75.html"
"","","","special76","","","image/jpeg","","","Campus Scene, October 1977","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/90/00001/EC218.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special76.html"
"","","","special77","","","image/jpeg","","","Campus Scene, Pool, October 1977","","http://ncf.sobek.ufl.edu/content/NC/F0/00/14/37/00001/SF109.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special77.html"
"","","","special78","","","image/jpeg","","","Campus Scene, September 1972","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/96/00001/EC226.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special78.html"
"","","","special79","","","image/jpeg","","","Campus Scene, Tennis, October 1977","","http://ncf.sobek.ufl.edu/content/NC/F0/00/14/32/00001/SF102.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special79.html"
"","","","special80","","","image/jpeg","","","Campus Scene-Dort Drive, September 1972","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/75/00001/WC224.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special80.html"
"","","","special81","","","image/jpeg","","","Campus Scenes, by College Hall, March 1964","","http://ncf.sobek.ufl.edu/content/NC/F0/00/15/84/00001/WC021.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special81.html"
"","","","special82","","","image/jpeg","","","Campus Scenes, Walk Front of College Hall, March 1964","","http://ncf.sobek.ufl.edu/content/NC/F0/00/15/83/00001/WC020.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special82.html"
"","","","special83","","","image/jpeg","","","Caples 100 Year-old Pine, April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/16/45/00001/WC149.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special83.html"
"","","","special84","","","image/jpeg","","","Caples Carriage House, April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/83/00001/EC186.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special84.html"
"","","","special85","","","image/jpeg","","","Caples Carriage House, Home to Environmental Studies, 1992","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/11/00001/Wallace026.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special85.html"
"","","","special86","","","image/jpeg","","","Caples Empty Land, Arts Site, April 1987","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/82/00001/EC185.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special86.html"
"","","","special87","","","image/jpeg","","","Caples, Fall 1999","","http://ncf.sobek.ufl.edu/content/NC/F0/00/10/50/00001/Admissions144.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special87.html"
"","","","special88","","","image/jpeg","","","Caples, February 1979","","http://ncf.sobek.ufl.edu/content/NC/F0/00/12/53/00001/EC069.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special88.html"
"","","","special89","","","image/jpeg","","","Caples Fine Arts Complex, Aerials, 1993","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/06/00001/Admissions2_388.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special89.html"
"","","","special90","","","image/jpeg","","","Caples Fine Arts Complex, May 1998","","http://ncf.sobek.ufl.edu/content/NC/F0/00/11/25/00001/Wallace230.jpg","","","","","","","","","","","","","","","","","","","","","","","","http://localhost:4000/specialformats/items/special90.html"
