objectid,cdmid,title,format,thumb,images,source,date,creator,subjects,generalnote,sourceofdescription
special213,213,"News Release (February 22, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/65/00001/News_Release_Feb_22_1967_Number_2thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/65/00001/News_Release_Feb_22_1967_Number_2.pdf,http://ncf.sobek.ufl.edu/NCF0000565,"February 22, 1967",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special214,214,"News Release (February 22, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/66/00001/News_Release_Feb_22_1967_Number_3thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/66/00001/News_Release_Feb_22_1967_Number_3.pdf,http://ncf.sobek.ufl.edu/NCF0000566,"February 22, 1967",New College of Florida,History;Planning;Records and correspondence,Three page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special215,215,"News Release (February 22, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/67/00001/News_Release_Feb_22_1967_Number_4thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/67/00001/News_Release_Feb_22_1967_Number_4.pdf,http://ncf.sobek.ufl.edu/NCF0000567,"February 22, 1967",New College of Florida,History;Planning;Records and correspondence,One page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special216,216,"News Release (February 22, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/68/00001/News_Release_Feb_22_1967_Number_5thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/68/00001/News_Release_Feb_22_1967_Number_5.pdf,http://ncf.sobek.ufl.edu/NCF0000568,"February 22, 1967",New College of Florida,History;Planning;Records and correspondence,Six page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special217,217,"News Release (February 22, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/69/00001/News_Release_Feb_22_1967_Number_6thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/69/00001/News_Release_Feb_22_1967_Number_6.pdf,http://ncf.sobek.ufl.edu/NCF0000569,"February 22, 1967",New College of Florida,History;Planning;Records and correspondence,Three page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special218,218,"News Release (February 22, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/70/00001/News_Release_Feb_22_1967_Number_7thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/70/00001/News_Release_Feb_22_1967_Number_7.pdf,http://ncf.sobek.ufl.edu/NCF0000570,"February 22, 1967",New College of Florida,History;Planning;Records and correspondence,Three page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special219,219,"News Release (February 22, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/71/00001/News_Release_Feb_22_1967_Number_8thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/71/00001/News_Release_Feb_22_1967_Number_8.pdf,http://ncf.sobek.ufl.edu/NCF0000571,"February 22, 1967",New College of Florida,History;Planning;Records and correspondence,One page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special220,220,"News Release (February 22, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/72/00001/News_Release_Feb_22_1967_Number_9thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/72/00001/News_Release_Feb_22_1967_Number_9.pdf,http://ncf.sobek.ufl.edu/NCF0000572,"February 22, 1967",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special221,221,"News Release (February 22, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/73/00001/News_Release_Feb_22_1967_Number_10thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/73/00001/News_Release_Feb_22_1967_Number_10.pdf,http://ncf.sobek.ufl.edu/NCF0000573,"February 22, 1967",New College of Florida,History;Planning;Records and correspondence,Four page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
special222,222,"News Release (February 22, 1967)",application/pdf,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/74/00001/News_Release_Feb_22_1967_Number_11thm.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/05/74/00001/News_Release_Feb_22_1967_Number_11.pdf,http://ncf.sobek.ufl.edu/NCF0000574,"February 22, 1967",New College of Florida,History;Planning;Records and correspondence,Two page news release.,"This bibliographic record is available under the Creative Commons CC0 public domain dedication. The New College of Florida Libraries, as creator of this bibliographic record, has waived all rights to it worldwide under copyright law, including all related and neighboring rights, to the extent allowed by law."
