objectid,cdmid,title,format,thumb,images,source,date,creator
special586,586,Sen. Robert Johnson,image/jpeg,http://ncf.sobek.ufl.edu/content/AA/00/02/58/30/00001/HIST_028_007_00001.jpg,http://ncf.sobek.ufl.edu/content/AA/00/02/58/30/00001/HIST_028_007_00001.jpg,http://ncf.sobek.ufl.edu/AA00025830,1987,New College of Florida
special587,587,"Sign, Barn, January 1985",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/67/00001/EC116.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/67/00001/EC116.jpg,http://ncf.sobek.ufl.edu/NCF0001267,1985,New College of Florida
special588,588,"Site of Spaatz Connector, April 1987",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/11/81/00001/Blue077.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/11/81/00001/Blue077.jpg,http://ncf.sobek.ufl.edu/NCF0001181,1987,New College of Florida
special589,589,"Soccer, July 1981",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/11/49/00001/Blue020.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/11/49/00001/Blue020.jpg,http://ncf.sobek.ufl.edu/NCF0001149,1981,New College of Florida
special590,590,"Soccer, March 1977",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/14/38/00001/SF113.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/14/38/00001/SF113.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/14/38/00001/SF147.jpg,http://ncf.sobek.ufl.edu/NCF0001438,1977,New College of Florida
special591,591,"Soccer, May 1998",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC052.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC052.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC053.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC054.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC055.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC056.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC057.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC058.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC059.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC060.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC061.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC062.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC063.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC064.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC065.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC066.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC067.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/EC068.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red309.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red310.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red311.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red312.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red313.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red314.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red315.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red316.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red317.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red318.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red319.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red320.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red321.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red322.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red323.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red324.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red325.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/52/00001/Red326.jpg,http://ncf.sobek.ufl.edu/NCF0001252,1998,New College of Florida
special592,592,"Social Sciences Building, January 1985",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/66/00001/EC115.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/12/66/00001/EC115.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/12/66/00001/EC117.jpg,http://ncf.sobek.ufl.edu/NCF0001266,1985,New College of Florida
special593,593,"Social Sciences Class with Dr. Vesperi, May 1998",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/80/00001/Red241.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/13/80/00001/Red241.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/80/00001/Red242.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/80/00001/Red243.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/80/00001/Red244.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/80/00001/Red245.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/80/00001/Red246.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/80/00001/Red247.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/80/00001/Red248.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/80/00001/Red249.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/80/00001/Red250.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/80/00001/Red251.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/80/00001/Red252.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/80/00001/Red253.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/80/00001/Red254.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/80/00001/Red255.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/13/80/00001/Red256.jpg,http://ncf.sobek.ufl.edu/NCF0001380,1998,New College of Florida
special594,594,"Soph Davenport, 1992",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/15/42/00001/VBP034.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/15/42/00001/VBP034.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/42/00001/VBP035.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/42/00001/VBP036.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/42/00001/VBP037.jpg;http://ncf.sobek.ufl.edu/content/NC/F0/00/15/42/00001/VBP038.jpg,http://ncf.sobek.ufl.edu/NCF0001542,1992,New College of Florida
special595,595,"South Hall, April 1978",image/jpeg,http://ncf.sobek.ufl.edu/content/NC/F0/00/16/38/00001/WC137.jpg,http://ncf.sobek.ufl.edu/content/NC/F0/00/16/38/00001/WC137.jpg,http://ncf.sobek.ufl.edu/NCF0001638,1978,New College of Florida
